word,pos,cefr,theme,definition,example_sentence
contract,noun,C1,General,(TBD: contract),The answer is _ .
became,verb,A2,General,(TBD: became),The answer is _ .
practice,noun,A2,General,(TBD: practice),The answer is _ .
about,adverb,A2,General,(TBD: about),The answer is _ .
better,adjective,A2,General,(TBD: better),The answer is _ .
word,noun,A2,General,(TBD: word),The answer is _ .
materials,noun,B1,General,(TBD: materials),The answer is _ .
division,noun,C1,General,(TBD: division),The answer is _ .
decision,noun,B2,General,(TBD: decision),The answer is _ .
brought,verb,A2,General,(TBD: brought),The answer is _ .
generally,adverb,B2,General,(TBD: generally),The answer is _ .
quality,noun,B1,General,(TBD: quality),The answer is _ .
agreement,noun,B2,General,(TBD: agreement),The answer is _ .
mind,noun,A2,General,(TBD: mind),The answer is _ .
lower,adjective,C1,General,(TBD: lower),The answer is _ .
increase,noun,B2,General,(TBD: increase),The answer is _ .
thing,noun,A2,General,(TBD: thing),The answer is _ .
probably,adverb,B1,General,(TBD: probably),The answer is _ .
corporation,noun,C1,General,(TBD: corporation),The answer is _ .
clear,adjective,B1,General,(TBD: clear),The answer is _ .
six,noun,A2,General,(TBD: six),The answer is _ .
review,noun,A2,General,(TBD: review),The answer is _ .
night,noun,A2,General,(TBD: night),The answer is _ .
sense,noun,B1,General,(TBD: sense),The answer is _ .
mother,noun,A2,General,(TBD: mother),The answer is _ .
open,adjective,A2,General,(TBD: open),The answer is _ .
further,adjective,B1,General,(TBD: further),The answer is _ .
organization,noun,B2,General,(TBD: organization),The answer is _ .
believe,verb,A2,General,(TBD: believe),The answer is _ .
values,noun,B2,General,(TBD: values),The answer is _ .
parts,noun,B2,General,(TBD: parts),The answer is _ .
road,noun,B1,General,(TBD: road),The answer is _ .
look,verb,A2,General,(TBD: look),The answer is _ .
source,noun,B1,General,(TBD: source),The answer is _ .
programs,noun,B1,General,(TBD: programs),The answer is _ .
activity,noun,A2,General,(TBD: activity),The answer is _ .
costs,noun,B1,General,(TBD: costs),The answer is _ .
range,noun,B1,General,(TBD: range),The answer is _ .
effective,adjective,B2,General,(TBD: effective),The answer is _ .
april,noun,A2,General,(TBD: april),The answer is _ .
additional,adjective,B1,General,(TBD: additional),The answer is _ .
rule,noun,A2,General,(TBD: rule),The answer is _ .
distribution,noun,B2,General,(TBD: distribution),The answer is _ .
title,noun,B1,General,(TBD: title),The answer is _ .
respect,noun,B2,General,(TBD: respect),The answer is _ .
keep,verb,A2,General,(TBD: keep),The answer is _ .
security,noun,B2,General,(TBD: security),The answer is _ .
established,verb,B1,General,(TBD: established),The answer is _ .
page,noun,A2,General,(TBD: page),The answer is _ .
workers,noun,A2,General,(TBD: workers),The answer is _ .
face,noun,A2,General,(TBD: face),The answer is _ .
help,verb,A2,General,(TBD: help),The answer is _ .
long,adverb,B1,General,(TBD: long),The answer is _ .
pressure,noun,B1,General,(TBD: pressure),The answer is _ .
ground,noun,A2,General,(TBD: ground),The answer is _ .
term,noun,B2,General,(TBD: term),The answer is _ .
insurance,noun,B2,General,(TBD: insurance),The answer is _ .
reported,verb,B1,General,(TBD: reported),The answer is _ .
congress,noun,A2,General,(TBD: congress),The answer is _ .
really,adverb,A2,General,(TBD: really),The answer is _ .
lines,noun,B1,General,(TBD: lines),The answer is _ .
function,noun,B2,General,(TBD: function),The answer is _ .
resources,noun,B2,General,(TBD: resources),The answer is _ .
stock,noun,C1,General,(TBD: stock),The answer is _ .
record,noun,B2,General,(TBD: record),The answer is _ .
king,noun,A2,General,(TBD: king),The answer is _ .
seems,verb,B1,General,(TBD: seems),The answer is _ .
temperature,noun,B1,General,(TBD: temperature),The answer is _ .
role,noun,A2,General,(TBD: role),The answer is _ .
nor,conjunction,B2,General,(TBD: nor),The answer is _ .
schools,noun,A2,General,(TBD: schools),The answer is _ .
natural,adjective,B1,General,(TBD: natural),The answer is _ .
performance,noun,B1,General,(TBD: performance),The answer is _ .
issue,noun,B1,General,(TBD: issue),The answer is _ .
rules,noun,B1,General,(TBD: rules),The answer is _ .
main,adjective,B2,General,(TBD: main),The answer is _ .
working,verb,B2,General,(TBD: working),The answer is _ .
article,noun,A2,General,(TBD: article),The answer is _ .
journal,noun,B2,General,(TBD: journal),The answer is _ .
international,noun,B1,General,(TBD: international),The answer is _ .
proposed,verb,C1,General,(TBD: proposed),The answer is _ .
less,adverb,B1,General,(TBD: less),The answer is _ .
tell,verb,A2,General,(TBD: tell),The answer is _ .
century,noun,B1,General,(TBD: century),The answer is _ .
situation,noun,B1,General,(TBD: situation),The answer is _ .
published,verb,B1,General,(TBD: published),The answer is _ .
william,noun,A2,General,(TBD: william),The answer is _ .
species,noun,C1,General,(TBD: species),The answer is _ .
woman,noun,A2,General,(TBD: woman),The answer is _ .
loss,noun,B2,General,(TBD: loss),The answer is _ .
director,noun,B1,General,(TBD: director),The answer is _ .
personal,adjective,A2,General,(TBD: personal),The answer is _ .
january,noun,A2,General,(TBD: january),The answer is _ .
unit,noun,B1,General,(TBD: unit),The answer is _ .
individual,adjective,B2,General,(TBD: individual),The answer is _ .
included,verb,B1,General,(TBD: included),The answer is _ .
written,verb,B2,General,(TBD: written),The answer is _ .
work,verb,A2,General,(TBD: work),The answer is _ .
requirements,noun,B2,General,(TBD: requirements),The answer is _ .
december,noun,A2,General,(TBD: december),The answer is _ .
employees,noun,C1,General,(TBD: employees),The answer is _ .
condition,noun,B1,General,(TBD: condition),The answer is _ .
meeting,noun,A2,General,(TBD: meeting),The answer is _ .
toward,preposition,B1,General,(TBD: toward),The answer is _ .
gave,verb,A2,General,(TBD: gave),The answer is _ .
library,noun,A2,General,(TBD: library),The answer is _ .
enough,adverb,B1,General,(TBD: enough),The answer is _ .
third,adjective,B1,General,(TBD: third),The answer is _ .
near,preposition,A2,General,(TBD: near),The answer is _ .
began,verb,A2,General,(TBD: began),The answer is _ .
up,adverb,B1,General,(TBD: up),The answer is _ .
books,noun,B1,General,(TBD: books),The answer is _ .
attention,noun,B1,General,(TBD: attention),The answer is _ .
says,verb,B1,General,(TBD: says),The answer is _ .
questions,noun,B1,General,(TBD: questions),The answer is _ .
follows,verb,B1,General,(TBD: follows),The answer is _ .
letter,noun,A2,General,(TBD: letter),The answer is _ .
employment,noun,B2,General,(TBD: employment),The answer is _ .
below,preposition,A2,General,(TBD: below),The answer is _ .
developed,verb,B1,General,(TBD: developed),The answer is _ .
normal,adjective,B1,General,(TBD: normal),The answer is _ .
chairman,noun,B1,General,(TBD: chairman),The answer is _ .
looked,verb,A2,General,(TBD: looked),The answer is _ .
heart,noun,A2,General,(TBD: heart),The answer is _ .
continued,verb,B1,General,(TBD: continued),The answer is _ .
subject,noun,A2,General,(TBD: subject),The answer is _ .
across,preposition,B1,General,(TBD: across),The answer is _ .
lord,noun,A2,General,(TBD: lord),The answer is _ .
felt,verb,A2,General,(TBD: felt),The answer is _ .
volume,noun,B2,General,(TBD: volume),The answer is _ .
english,noun,A2,General,(TBD: english),The answer is _ .
international,adjective,B1,General,(TBD: international),The answer is _ .
code,noun,A2,General,(TBD: code),The answer is _ .
laws,noun,B1,General,(TBD: laws),The answer is _ .
up,preposition,A2,General,(TBD: up),The answer is _ .
patients,noun,B1,General,(TBD: patients),The answer is _ .
co,noun,A2,General,(TBD: co),The answer is _ .
knew,verb,A2,General,(TBD: knew),The answer is _ .
saw,verb,C1,General,(TBD: saw),The answer is _ .
de,noun,A2,General,(TBD: de),The answer is _ .
strong,adjective,A2,General,(TBD: strong),The answer is _ .
fire,noun,A2,General,(TBD: fire),The answer is _ .
product,noun,B1,General,(TBD: product),The answer is _ .
region,noun,B2,General,(TBD: region),The answer is _ .
purposes,noun,B1,General,(TBD: purposes),The answer is _ .
today,noun,A2,General,(TBD: today),The answer is _ .
staff,noun,B1,General,(TBD: staff),The answer is _ .
presented,verb,B1,General,(TBD: presented),The answer is _ .
one,pronoun,B1,General,(TBD: one),The answer is _ .
significant,adjective,B1,General,(TBD: significant),The answer is _ .
financial,adjective,B2,General,(TBD: financial),The answer is _ .
need,noun,C1,General,(TBD: need),The answer is _ .
solution,noun,B1,General,(TBD: solution),The answer is _ .
particularly,adverb,B2,General,(TBD: particularly),The answer is _ .
further,adverb,B2,General,(TBD: further),The answer is _ .
provisions,noun,C1,General,(TBD: provisions),The answer is _ .
complete,adjective,B1,General,(TBD: complete),The answer is _ .
whom,pronoun,B1,General,(TBD: whom),The answer is _ .
agency,noun,B1,General,(TBD: agency),The answer is _ .
sometimes,adverb,B2,General,(TBD: sometimes),The answer is _ .
such,determiner,B1,General,(TBD: such),The answer is _ .
october,noun,A2,General,(TBD: october),The answer is _ .
average,adjective,B1,General,(TBD: average),The answer is _ .
black,adjective,A2,General,(TBD: black),The answer is _ .
soon,adverb,A2,General,(TBD: soon),The answer is _ .
town,noun,A2,General,(TBD: town),The answer is _ .
involved,verb,B2,General,(TBD: involved),The answer is _ .
issues,noun,B2,General,(TBD: issues),The answer is _ .
sir,noun,A2,General,(TBD: sir),The answer is _ .
recent,adjective,B1,General,(TBD: recent),The answer is _ .
note,noun,A2,General,(TBD: note),The answer is _ .
makes,verb,B1,General,(TBD: makes),The answer is _ .
carried,verb,A2,General,(TBD: carried),The answer is _ .
september,noun,A2,General,(TBD: september),The answer is _ .
needed,verb,B1,General,(TBD: needed),The answer is _ .
factors,noun,C1,General,(TBD: factors),The answer is _ .
original,adjective,B1,General,(TBD: original),The answer is _ .
blood,noun,B1,General,(TBD: blood),The answer is _ .
approach,noun,B2,General,(TBD: approach),The answer is _ .
anything,noun,A2,General,(TBD: anything),The answer is _ .
final,adjective,B1,General,(TBD: final),The answer is _ .
companies,noun,B1,General,(TBD: companies),The answer is _ .
reference,noun,C1,General,(TBD: reference),The answer is _ .
england,noun,A2,General,(TBD: england),The answer is _ .
difficult,adjective,A2,General,(TBD: difficult),The answer is _ .
california,noun,Unknown,General,(TBD: california),The answer is _ .
technology,noun,A2,General,(TBD: technology),The answer is _ .
hands,noun,A2,General,(TBD: hands),The answer is _ .
forms,noun,B1,General,(TBD: forms),The answer is _ .
added,verb,A2,General,(TBD: added),The answer is _ .
determined,verb,C1,General,(TBD: determined),The answer is _ .
defendant,noun,A2,General,(TBD: defendant),The answer is _ .
movement,noun,B2,General,(TBD: movement),The answer is _ .
response,noun,B1,General,(TBD: response),The answer is _ .
types,noun,B1,General,(TBD: types),The answer is _ .
james,noun,A2,General,(TBD: james),The answer is _ .
job,noun,A2,General,(TBD: job),The answer is _ .
points,noun,A2,General,(TBD: points),The answer is _ .
levels,noun,B2,General,(TBD: levels),The answer is _ .
vol,noun,A2,General,(TBD: vol),The answer is _ .
idea,noun,A2,General,(TBD: idea),The answer is _ .
disease,noun,B2,General,(TBD: disease),The answer is _ .
produced,verb,B1,General,(TBD: produced),The answer is _ .
feel,verb,A2,General,(TBD: feel),The answer is _ .
relations,noun,B2,General,(TBD: relations),The answer is _ .
opinion,noun,B1,General,(TBD: opinion),The answer is _ .
taking,verb,B1,General,(TBD: taking),The answer is _ .
subject,adjective,A2,General,(TBD: subject),The answer is _ .
funds,noun,B2,General,(TBD: funds),The answer is _ .
cells,noun,B2,General,(TBD: cells),The answer is _ .
physical,adjective,B1,General,(TBD: physical),The answer is _ .
doing,verb,A2,General,(TBD: doing),The answer is _ .
miles,noun,B2,General,(TBD: miles),The answer is _ .
pay,verb,A2,General,(TBD: pay),The answer is _ .
love,noun,A2,General,(TBD: love),The answer is _ .
week,noun,A2,General,(TBD: week),The answer is _ .
operations,noun,B2,General,(TBD: operations),The answer is _ .
list,noun,A2,General,(TBD: list),The answer is _ .
army,noun,B2,General,(TBD: army),The answer is _ .
direct,adjective,B1,General,(TBD: direct),The answer is _ .
relationship,noun,B2,General,(TBD: relationship),The answer is _ .
length,noun,B2,General,(TBD: length),The answer is _ .
son,noun,A2,General,(TBD: son),The answer is _ .
self,noun,A2,General,(TBD: self),The answer is _ .
works,noun,A2,General,(TBD: works),The answer is _ .
finally,adverb,B1,General,(TBD: finally),The answer is _ .
degree,noun,B1,General,(TBD: degree),The answer is _ .
iii,noun,A2,General,(TBD: iii),The answer is _ .
sales,noun,A2,General,(TBD: sales),The answer is _ .
means,verb,C1,General,(TBD: means),The answer is _ .
in,noun,A2,General,(TBD: in),The answer is _ .
extent,noun,B2,General,(TBD: extent),The answer is _ .
august,noun,A2,General,(TBD: august),The answer is _ .
conference,noun,C1,General,(TBD: conference),The answer is _ .
turned,verb,A2,General,(TBD: turned),The answer is _ .
placed,verb,B1,General,(TBD: placed),The answer is _ .
provides,verb,B1,General,(TBD: provides),The answer is _ .
half,noun,A2,General,(TBD: half),The answer is _ .
story,noun,A2,General,(TBD: story),The answer is _ .
shows,verb,A2,General,(TBD: shows),The answer is _ .
military,adjective,B1,General,(TBD: military),The answer is _ .
meet,verb,A2,General,(TBD: meet),The answer is _ .
consider,verb,B1,General,(TBD: consider),The answer is _ .
moment,noun,A2,General,(TBD: moment),The answer is _ .
difference,noun,A2,General,(TBD: difference),The answer is _ .
sea,noun,A2,General,(TBD: sea),The answer is _ .
annual,adjective,B2,General,(TBD: annual),The answer is _ .
sent,verb,B1,General,(TBD: sent),The answer is _ .
appear,verb,B1,General,(TBD: appear),The answer is _ .
protection,noun,B2,General,(TBD: protection),The answer is _ .
discussion,noun,B1,General,(TBD: discussion),The answer is _ .
instead,adverb,B1,General,(TBD: instead),The answer is _ .
george,noun,A2,General,(TBD: george),The answer is _ .
east,noun,B1,General,(TBD: east),The answer is _ .
followed,verb,B1,General,(TBD: followed),The answer is _ .
down,adverb,A2,General,(TBD: down),The answer is _ .
character,noun,A2,General,(TBD: character),The answer is _ .
motion,noun,C1,General,(TBD: motion),The answer is _ .
expected,verb,C1,General,(TBD: expected),The answer is _ .
understand,verb,B1,General,(TBD: understand),The answer is _ .
appropriate,adjective,B1,General,(TBD: appropriate),The answer is _ .
legal,adjective,B2,General,(TBD: legal),The answer is _ .
weight,noun,B1,General,(TBD: weight),The answer is _ .
supply,noun,B2,General,(TBD: supply),The answer is _ .
ten,noun,A2,General,(TBD: ten),The answer is _ .
what,determiner,A2,General,(TBD: what),The answer is _ .
wife,noun,A2,General,(TBD: wife),The answer is _ .
officer,noun,A2,General,(TBD: officer),The answer is _ .
manner,noun,B1,General,(TBD: manner),The answer is _ .
throughout,preposition,B2,General,(TBD: throughout),The answer is _ .
reports,noun,B1,General,(TBD: reports),The answer is _ .
sure,adjective,A2,General,(TBD: sure),The answer is _ .
parties,noun,A2,General,(TBD: parties),The answer is _ .
prices,noun,B1,General,(TBD: prices),The answer is _ .
november,noun,A2,General,(TBD: november),The answer is _ .
unless,preposition,B2,General,(TBD: unless),The answer is _ .
basic,adjective,B1,General,(TBD: basic),The answer is _ .
fund,noun,B2,General,(TBD: fund),The answer is _ .
heard,verb,A2,General,(TBD: heard),The answer is _ .
officers,noun,A2,General,(TBD: officers),The answer is _ .
wanted,verb,B1,General,(TBD: wanted),The answer is _ .
direction,noun,B1,General,(TBD: direction),The answer is _ .
hospital,noun,A2,General,(TBD: hospital),The answer is _ .
passed,verb,B1,General,(TBD: passed),The answer is _ .
indeed,adverb,B1,General,(TBD: indeed),The answer is _ .
goods,noun,B2,General,(TBD: goods),The answer is _ .
capacity,noun,B2,General,(TBD: capacity),The answer is _ .
ways,noun,A2,General,(TBD: ways),The answer is _ .
canada,noun,A2,General,(TBD: canada),The answer is _ .
base,noun,B1,General,(TBD: base),The answer is _ .
trial,noun,C1,General,(TBD: trial),The answer is _ .
judgment,noun,B2,General,(TBD: judgment),The answer is _ .
simple,adjective,B1,General,(TBD: simple),The answer is _ .
box,noun,A2,General,(TBD: box),The answer is _ .
plants,noun,B1,General,(TBD: plants),The answer is _ .
author,noun,B1,General,(TBD: author),The answer is _ .
institute,noun,B2,General,(TBD: institute),The answer is _ .
lost,verb,B1,General,(TBD: lost),The answer is _ .
mean,verb,A2,General,(TBD: mean),The answer is _ .
door,noun,A2,General,(TBD: door),The answer is _ .
wide,adjective,B1,General,(TBD: wide),The answer is _ .
applied,verb,B1,General,(TBD: applied),The answer is _ .
importance,noun,B1,General,(TBD: importance),The answer is _ .
car,noun,A2,General,(TBD: car),The answer is _ .
text,noun,B1,General,(TBD: text),The answer is _ .
medical,adjective,B1,General,(TBD: medical),The answer is _ .
credit,noun,B1,General,(TBD: credit),The answer is _ .
soil,noun,C1,General,(TBD: soil),The answer is _ .
engineering,noun,B2,General,(TBD: engineering),The answer is _ .
notice,noun,B1,General,(TBD: notice),The answer is _ .
india,noun,C1,General,(TBD: india),The answer is _ .
bring,verb,A2,General,(TBD: bring),The answer is _ .
determine,verb,B2,General,(TBD: determine),The answer is _ .
charge,noun,B2,General,(TBD: charge),The answer is _ .
culture,noun,A2,General,(TBD: culture),The answer is _ .
stage,noun,A2,General,(TBD: stage),The answer is _ .
february,noun,A2,General,(TBD: february),The answer is _ .
directly,adverb,B2,General,(TBD: directly),The answer is _ .
standards,noun,B2,General,(TBD: standards),The answer is _ .
music,noun,A2,General,(TBD: music),The answer is _ .
survey,noun,A2,General,(TBD: survey),The answer is _ .
beyond,preposition,B1,General,(TBD: beyond),The answer is _ .
flow,noun,B2,General,(TBD: flow),The answer is _ .
units,noun,B1,General,(TBD: units),The answer is _ .
safety,noun,B2,General,(TBD: safety),The answer is _ .
ask,verb,A2,General,(TBD: ask),The answer is _ .
modern,adjective,B1,General,(TBD: modern),The answer is _ .
previous,adjective,B2,General,(TBD: previous),The answer is _ .
appears,verb,B1,General,(TBD: appears),The answer is _ .
seemed,verb,B1,General,(TBD: seemed),The answer is _ .
station,noun,A2,General,(TBD: station),The answer is _ .
site,noun,A2,General,(TBD: site),The answer is _ .
exchange,noun,B1,General,(TBD: exchange),The answer is _ .
month,noun,A2,General,(TBD: month),The answer is _ .
like,verb,A2,General,(TBD: like),The answer is _ .
payment,noun,C1,General,(TBD: payment),The answer is _ .
chicago,noun,A2,General,(TBD: chicago),The answer is _ .
justice,noun,B2,General,(TBD: justice),The answer is _ .
investment,noun,C1,General,(TBD: investment),The answer is _ .
proper,adjective,B1,General,(TBD: proper),The answer is _ .
alone,adverb,A2,General,(TBD: alone),The answer is _ .
facilities,noun,C1,General,(TBD: facilities),The answer is _ .
sale,noun,A2,General,(TBD: sale),The answer is _ .
steel,noun,B2,General,(TBD: steel),The answer is _ .
clearly,adverb,B1,General,(TBD: clearly),The answer is _ .
likely,adjective,B1,General,(TBD: likely),The answer is _ .
simply,adverb,B1,General,(TBD: simply),The answer is _ .
former,adjective,B2,General,(TBD: former),The answer is _ .
environment,noun,C1,General,(TBD: environment),The answer is _ .
related,verb,C1,General,(TBD: related),The answer is _ .
associated,verb,B2,General,(TBD: associated),The answer is _ .
entire,adjective,B2,General,(TBD: entire),The answer is _ .
twenty,noun,A2,General,(TBD: twenty),The answer is _ .
hundred,noun,B1,General,(TBD: hundred),The answer is _ .
minister,noun,C1,General,(TBD: minister),The answer is _ .
cell,noun,B2,General,(TBD: cell),The answer is _ .
actual,adjective,C1,General,(TBD: actual),The answer is _ .
larger,adjective,A2,General,(TBD: larger),The answer is _ .
records,noun,B1,General,(TBD: records),The answer is _ .
actually,adverb,B1,General,(TBD: actually),The answer is _ .
europe,noun,A2,General,(TBD: europe),The answer is _ .
industrial,adjective,B2,General,(TBD: industrial),The answer is _ .
includes,verb,B1,General,(TBD: includes),The answer is _ .
cause,noun,C1,General,(TBD: cause),The answer is _ .
equal,adjective,B2,General,(TBD: equal),The answer is _ .
seem,verb,B1,General,(TBD: seem),The answer is _ .
assistance,noun,B2,General,(TBD: assistance),The answer is _ .
federal,adjective,C1,General,(TBD: federal),The answer is _ .
robert,noun,A2,General,(TBD: robert),The answer is _ .
otherwise,adverb,B2,General,(TBD: otherwise),The answer is _ .
central,adjective,B2,General,(TBD: central),The answer is _ .
behind,preposition,A2,General,(TBD: behind),The answer is _ .
poor,adjective,A2,General,(TBD: poor),The answer is _ .
presence,noun,B2,General,(TBD: presence),The answer is _ .
forces,noun,B2,General,(TBD: forces),The answer is _ .
regulations,noun,B2,General,(TBD: regulations),The answer is _ .
thomas,noun,A2,General,(TBD: thomas),The answer is _ .
influence,noun,B1,General,(TBD: influence),The answer is _ .
nearly,adverb,B1,General,(TBD: nearly),The answer is _ .
student,noun,A2,General,(TBD: student),The answer is _ .
heat,noun,B1,General,(TBD: heat),The answer is _ .
continue,verb,B1,General,(TBD: continue),The answer is _ .
no,adverb,A2,General,(TBD: no),The answer is _ .
require,verb,B2,General,(TBD: require),The answer is _ .
future,noun,A2,General,(TBD: future),The answer is _ .
elements,noun,B2,General,(TBD: elements),The answer is _ .
earth,noun,B1,General,(TBD: earth),The answer is _ .
status,noun,B2,General,(TBD: status),The answer is _ .
consideration,noun,B2,General,(TBD: consideration),The answer is _ .
procedure,noun,C1,General,(TBD: procedure),The answer is _ .
individuals,noun,B2,General,(TBD: individuals),The answer is _ .
risk,noun,B2,General,(TBD: risk),The answer is _ .
stated,verb,B2,General,(TBD: stated),The answer is _ .
leave,verb,A2,General,(TBD: leave),The answer is _ .
issued,verb,B2,General,(TBD: issued),The answer is _ .
relation,noun,B2,General,(TBD: relation),The answer is _ .
duty,noun,B2,General,(TBD: duty),The answer is _ .
compared,verb,B1,General,(TBD: compared),The answer is _ .
failure,noun,B2,General,(TBD: failure),The answer is _ .
set,noun,B1,General,(TBD: set),The answer is _ .
benefits,noun,B2,General,(TBD: benefits),The answer is _ .
numbers,noun,A2,General,(TBD: numbers),The answer is _ .
late,adjective,A2,General,(TBD: late),The answer is _ .
referred,verb,B1,General,(TBD: referred),The answer is _ .
call,verb,B1,General,(TBD: call),The answer is _ .
sources,noun,B1,General,(TBD: sources),The answer is _ .
factor,noun,C1,General,(TBD: factor),The answer is _ .
phase,noun,C1,General,(TBD: phase),The answer is _ .
computer,noun,A2,General,(TBD: computer),The answer is _ .
china,noun,A2,General,(TBD: china),The answer is _ .
minutes,noun,A2,General,(TBD: minutes),The answer is _ .
connection,noun,B2,General,(TBD: connection),The answer is _ .
literature,noun,B2,General,(TBD: literature),The answer is _ .
trust,noun,C1,General,(TBD: trust),The answer is _ .
morning,noun,A2,General,(TBD: morning),The answer is _ .
france,noun,A2,General,(TBD: france),The answer is _ .
properties,noun,B2,General,(TBD: properties),The answer is _ .
towards,preposition,B1,General,(TBD: towards),The answer is _ .
kept,verb,A2,General,(TBD: kept),The answer is _ .
news,noun,A2,General,(TBD: news),The answer is _ .
san,noun,A2,General,(TBD: san),The answer is _ .
gives,verb,A2,General,(TBD: gives),The answer is _ .
existing,verb,C1,General,(TBD: existing),The answer is _ .
hard,adjective,A2,General,(TBD: hard),The answer is _ .
sufficient,adjective,B2,General,(TBD: sufficient),The answer is _ .
voice,noun,B1,General,(TBD: voice),The answer is _ .
looking,verb,A2,General,(TBD: looking),The answer is _ .
allowed,verb,B1,General,(TBD: allowed),The answer is _ .
either,conjunction,B1,General,(TBD: either),The answer is _ .
senate,noun,A2,General,(TBD: senate),The answer is _ .
farm,noun,A2,General,(TBD: farm),The answer is _ .
peace,noun,A2,General,(TBD: peace),The answer is _ .
planning,noun,C1,General,(TBD: planning),The answer is _ .
opportunity,noun,B1,General,(TBD: opportunity),The answer is _ .
chemical,noun,B2,General,(TBD: chemical),The answer is _ .
apply,verb,B1,General,(TBD: apply),The answer is _ .
amendment,noun,A2,General,(TBD: amendment),The answer is _ .
big,adjective,A2,General,(TBD: big),The answer is _ .
figures,noun,B1,General,(TBD: figures),The answer is _ .
observed,verb,B2,General,(TBD: observed),The answer is _ .
interests,noun,B1,General,(TBD: interests),The answer is _ .
defined,verb,B2,General,(TBD: defined),The answer is _ .
active,adjective,B2,General,(TBD: active),The answer is _ .
immediately,adverb,B2,General,(TBD: immediately),The answer is _ .
over,particle,A2,General,(TBD: over),The answer is _ .
teachers,noun,A2,General,(TBD: teachers),The answer is _ .
everything,noun,A2,General,(TBD: everything),The answer is _ .
wall,noun,A2,General,(TBD: wall),The answer is _ .
behavior,noun,B1,General,(TBD: behavior),The answer is _ .
mass,noun,C1,General,(TBD: mass),The answer is _ .
contact,noun,B1,General,(TBD: contact),The answer is _ .
concerned,verb,B2,General,(TBD: concerned),The answer is _ .
charles,noun,A2,General,(TBD: charles),The answer is _ .
reached,verb,B1,General,(TBD: reached),The answer is _ .
either,determiner,B2,General,(TBD: either),The answer is _ .
mentioned,verb,B1,General,(TBD: mentioned),The answer is _ .
lot,noun,B1,General,(TBD: lot),The answer is _ .
discussed,verb,A2,General,(TBD: discussed),The answer is _ .
island,noun,A2,General,(TBD: island),The answer is _ .
primary,adjective,C1,General,(TBD: primary),The answer is _ .
relative,adjective,B2,General,(TBD: relative),The answer is _ .
nation,noun,B1,General,(TBD: nation),The answer is _ .
senator,noun,C1,General,(TBD: senator),The answer is _ .
coming,verb,A2,General,(TBD: coming),The answer is _ .
mr,noun,A2,General,(TBD: mr),The answer is _ .
sec,noun,A2,General,(TBD: sec),The answer is _ .
bureau,noun,B2,General,(TBD: bureau),The answer is _ .
police,noun,B1,General,(TBD: police),The answer is _ .
reduced,verb,B2,General,(TBD: reduced),The answer is _ .
friends,noun,A2,General,(TBD: friends),The answer is _ .
commercial,adjective,B2,General,(TBD: commercial),The answer is _ .
institutions,noun,C1,General,(TBD: institutions),The answer is _ .
hold,verb,B1,General,(TBD: hold),The answer is _ .
needs,noun,B1,General,(TBD: needs),The answer is _ .
produce,verb,B1,General,(TBD: produce),The answer is _ .
sample,noun,B1,General,(TBD: sample),The answer is _ .
demand,noun,B2,General,(TBD: demand),The answer is _ .
strength,noun,B1,General,(TBD: strength),The answer is _ .
sections,noun,A2,General,(TBD: sections),The answer is _ .
started,verb,A2,General,(TBD: started),The answer is _ .
progress,noun,B2,General,(TBD: progress),The answer is _ .
ability,noun,B1,General,(TBD: ability),The answer is _ .
index,noun,C1,General,(TBD: index),The answer is _ .
live,verb,A2,General,(TBD: live),The answer is _ .
iron,noun,B2,General,(TBD: iron),The answer is _ .
return,noun,B1,General,(TBD: return),The answer is _ .
plaintiff,noun,A2,General,(TBD: plaintiff),The answer is _ .
facts,noun,B1,General,(TBD: facts),The answer is _ .
economy,noun,B2,General,(TBD: economy),The answer is _ .
differences,noun,A2,General,(TBD: differences),The answer is _ .
giving,verb,A2,General,(TBD: giving),The answer is _ .
distance,noun,B2,General,(TBD: distance),The answer is _ .
collection,noun,A2,General,(TBD: collection),The answer is _ .
notes,noun,A2,General,(TBD: notes),The answer is _ .
coal,noun,B2,General,(TBD: coal),The answer is _ .
in,particle,A2,General,(TBD: in),The answer is _ .
estate,noun,C1,General,(TBD: estate),The answer is _ .
machine,noun,A2,General,(TBD: machine),The answer is _ .
fine,adjective,A2,General,(TBD: fine),The answer is _ .
front,noun,B1,General,(TBD: front),The answer is _ .
answer,noun,A2,General,(TBD: answer),She looked for _ to her difficult question.
smith,noun,A2,General,(TBD: smith),The answer is _ .
parents,noun,A2,General,(TBD: parents),The answer is _ .
prepared,verb,B2,General,(TBD: prepared),The answer is _ .
comes,verb,A2,General,(TBD: comes),The answer is _ .
standard,noun,B2,General,(TBD: standard),The answer is _ .
transportation,noun,B2,General,(TBD: transportation),The answer is _ .
one,adjective,A2,General,(TBD: one),The answer is _ .
lake,noun,B1,General,(TBD: lake),The answer is _ .
noted,verb,A2,General,(TBD: noted),The answer is _ .
receive,verb,B1,General,(TBD: receive),The answer is _ .
designed,verb,B1,General,(TBD: designed),The answer is _ .
led,verb,B1,General,(TBD: led),The answer is _ .
affairs,noun,B1,General,(TBD: affairs),The answer is _ .
germany,noun,A2,General,(TBD: germany),The answer is _ .
patient,noun,B1,General,(TBD: patient),The answer is _ .
access,noun,B2,General,(TBD: access),The answer is _ .
circumstances,noun,C1,General,(TBD: circumstances),The answer is _ .
